"filename", "language", "TypeScript", "Less", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"d:\DATN\Web\src\app\app-routing.module.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 4, 79
"d:\DATN\Web\src\app\app.component.css", "CSS", 0, 0, 28, 0, 0, 0, 3, 31
"d:\DATN\Web\src\app\app.component.html", "HTML", 0, 0, 0, 61, 0, 0, 5, 66
"d:\DATN\Web\src\app\app.component.ts", "TypeScript", 76, 0, 0, 0, 0, 4, 15, 95
"d:\DATN\Web\src\app\app.module.ts", "TypeScript", 143, 0, 0, 0, 0, 4, 4, 151
"d:\DATN\Web\src\app\base\base.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\DATN\Web\src\app\base\base.component.html", "HTML", 0, 0, 0, 1, 0, 0, 1, 2
"d:\DATN\Web\src\app\base\base.component.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 5, 55
"d:\DATN\Web\src\app\components\address\address.component.css", "CSS", 0, 0, 22, 0, 0, 0, 5, 27
"d:\DATN\Web\src\app\components\address\address.component.html", "HTML", 0, 0, 0, 58, 0, 0, 4, 62
"d:\DATN\Web\src\app\components\address\address.component.ts", "TypeScript", 114, 0, 0, 0, 0, 4, 15, 133
"d:\DATN\Web\src\app\components\cart\cart.component.html", "HTML", 0, 0, 0, 68, 0, 4, 1, 73
"d:\DATN\Web\src\app\components\cart\cart.component.scss", "SCSS", 0, 0, 0, 0, 5, 0, 1, 6
"d:\DATN\Web\src\app\components\cart\cart.component.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 10, 98
"d:\DATN\Web\src\app\components\home\home.component.css", "CSS", 0, 0, 64, 0, 0, 5, 5, 74
"d:\DATN\Web\src\app\components\home\home.component.html", "HTML", 0, 0, 0, 87, 0, 5, 4, 96
"d:\DATN\Web\src\app\components\home\home.component.ts", "TypeScript", 154, 0, 0, 0, 0, 4, 12, 170
"d:\DATN\Web\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 35, 0, 0, 2, 37
"d:\DATN\Web\src\app\components\login\login.component.scss", "SCSS", 0, 0, 0, 0, 23, 0, 4, 27
"d:\DATN\Web\src\app\components\login\login.component.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 8, 76
